Date,open,high,low,close,volume,dividends,stock splits,sma20,sma50,rsi
2018-01-01 00:00:00+00:00,755.7570190429688,782.530029296875,742.0040283203125,772.6409912109375,2595760128,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-02 00:00:00+00:00,772.3460083007812,914.8300170898438,772.3460083007812,884.4439697265625,5783349760,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-03 00:00:00+00:00,886.0,974.4710083007812,868.4509887695312,962.719970703125,5093159936,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-04 00:00:00+00:00,961.7130126953125,1045.0799560546875,946.0859985351562,980.9219970703125,6502859776,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-05 00:00:00+00:00,975.75,1075.3900146484375,956.3250122070312,997.719970703125,6683149824,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-06 00:00:00+00:00,995.1539916992188,1060.7099609375,994.6220092773438,1041.6800537109375,4662219776,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-07 00:00:00+00:00,1043.010009765625,1153.1700439453125,1043.010009765625,1153.1700439453125,5569880064,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-08 00:00:00+00:00,1158.260009765625,1266.9300537109375,1016.0499877929688,1148.530029296875,8450970112,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-09 00:00:00+00:00,1146.0,1320.97998046875,1145.489990234375,1299.739990234375,7965459968,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-10 00:00:00+00:00,1300.3399658203125,1417.3800048828125,1226.5999755859375,1255.8199462890625,9214950400,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-11 00:00:00+00:00,1268.0899658203125,1337.300048828125,1135.1700439453125,1154.9300537109375,7235899904,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-12 00:00:00+00:00,1158.2900390625,1296.0400390625,1120.0899658203125,1273.199951171875,5222300160,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-13 00:00:00+00:00,1270.469970703125,1432.8800048828125,1270.469970703125,1396.4200439453125,5746760192,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-14 00:00:00+00:00,1397.47998046875,1400.56005859375,1286.2099609375,1366.77001953125,4841630208,0.0,0.0,1113.954852294922,1018.9960607910157,81.193476262642
2018-01-15 00:00:00+00:00,1365.2099609375,1390.5899658203125,1290.5999755859375,1291.9200439453125,4781100032,0.0,0.0,1113.954852294922,1018.9960607910157,75.27695150719282
2018-01-16 00:00:00+00:00,1292.6300048828125,1292.6300048828125,875.5449829101562,1053.68994140625,8405139968,0.0,0.0,1113.954852294922,1018.9960607910157,57.335518369125516
2018-01-17 00:00:00+00:00,1061.3399658203125,1090.22998046875,780.9219970703125,1014.25,8545160192,0.0,0.0,1113.954852294922,1018.9960607910157,52.31124036321603
2018-01-18 00:00:00+00:00,1016.4400024414062,1100.31005859375,967.7589721679688,1036.280029296875,5938319872,0.0,0.0,1113.954852294922,1018.9960607910157,52.47443814109262
2018-01-19 00:00:00+00:00,1028.8199462890625,1093.219970703125,1003.7100219726562,1039.0999755859375,4084450048,0.0,0.0,1113.954852294922,1018.9960607910157,51.873042542490936
2018-01-20 00:00:00+00:00,1044.949951171875,1167.1099853515625,1044.949951171875,1155.1500244140625,3975190016,0.0,0.0,1113.954852294922,1018.9960607910157,54.821492741198604
2018-01-21 00:00:00+00:00,1155.6800537109375,1155.6800537109375,1021.5,1049.5799560546875,3378089984,0.0,0.0,1127.8018005371093,1018.9960607910157,45.576060419271506
2018-01-22 00:00:00+00:00,1055.3499755859375,1089.0999755859375,930.7410278320312,1003.260009765625,3810099968,0.0,0.0,1133.7426025390625,1018.9960607910157,44.00933536329125
2018-01-23 00:00:00+00:00,1004.1699829101562,1023.22998046875,920.5399780273438,986.22900390625,3556699904,0.0,0.0,1134.9180541992187,1018.9960607910157,35.46259860347591
2018-01-24 00:00:00+00:00,987.4769897460938,1062.43994140625,965.8079833984375,1058.780029296875,3944039936,0.0,0.0,1138.8109558105468,1018.9960607910157,41.09964760327772
2018-01-25 00:00:00+00:00,1063.219970703125,1104.6600341796875,1034.739990234375,1056.030029296875,4050190080,0.0,0.0,1141.7264587402344,1018.9960607910157,45.09804823193965
2018-01-26 00:00:00+00:00,1052.699951171875,1080.5999755859375,996.7839965820312,1055.1700439453125,3617690112,0.0,0.0,1142.4009582519532,1018.9960607910157,37.76998491260279
2018-01-27 00:00:00+00:00,1055.75,1121.97998046875,1042.1199951171875,1107.0699462890625,3002870016,0.0,0.0,1140.0959533691407,1018.9960607910157,32.35782017682402
2018-01-28 00:00:00+00:00,1111.780029296875,1257.77001953125,1111.780029296875,1246.010009765625,5372329984,0.0,0.0,1144.969952392578,1018.9960607910157,43.50292979140095
2018-01-29 00:00:00+00:00,1246.699951171875,1256.699951171875,1169.0799560546875,1182.3599853515625,3715079936,0.0,0.0,1139.1009521484375,1018.9960607910157,44.033600038290636
2018-01-30 00:00:00+00:00,1184.1300048828125,1184.6300048828125,1058.969970703125,1071.1300048828125,4107859968,0.0,0.0,1129.866455078125,1018.9960607910157,51.10220821211427
2018-01-31 00:00:00+00:00,1071.0899658203125,1128.6600341796875,1034.5,1118.31005859375,3757560064,0.0,0.0,1128.0354553222655,1018.9960607910157,56.5128547246656
2018-02-01 00:00:00+00:00,1119.3699951171875,1161.3499755859375,984.8189697265625,1036.7900390625,5261680128,0.0,0.0,1116.2149597167968,1018.9960607910157,50.029707966001226
2018-02-02 00:00:00+00:00,1035.77001953125,1035.77001953125,757.97998046875,915.7849731445312,6713290240,0.0,0.0,1092.1832061767577,1018.9960607910157,43.68623754391665
2018-02-03 00:00:00+00:00,919.2109985351562,991.9429931640625,847.6900024414062,964.0189819335938,3243480064,0.0,0.0,1072.045654296875,1018.9960607910157,39.48374669172799
2018-02-04 00:00:00+00:00,964.6669921875,969.031982421875,805.0640258789062,834.6820068359375,2997090048,0.0,0.0,1049.1837524414063,1018.9960607910157,38.47742131081831
2018-02-05 00:00:00+00:00,834.9580078125,856.64599609375,644.5989990234375,697.9509887695312,4269530112,0.0,0.0,1031.3968048095703,1018.9960607910157,35.076580713263226
2018-02-06 00:00:00+00:00,707.7369995117188,796.4390258789062,574.4190063476562,793.1220092773438,6518269952,0.0,0.0,1020.3404052734375,1018.9960607910157,41.23085277276246
2018-02-07 00:00:00+00:00,790.427978515625,851.2000122070312,723.4329833984375,757.0679931640625,3896179968,0.0,0.0,1006.3798034667968,1018.9960607910157,35.8292895005133
2018-02-08 00:00:00+00:00,755.843017578125,845.0859985351562,755.843017578125,817.8070068359375,3708189952,0.0,0.0,995.3151550292969,1018.9960607910157,39.38921299934678
2018-02-09 00:00:00+00:00,818.47998046875,884.0040283203125,788.833984375,883.864990234375,2495820032,0.0,0.0,981.7509033203125,1018.9960607910157,42.78866861917643
2018-02-10 00:00:00+00:00,882.4669799804688,917.4000244140625,825.5770263671875,860.4149780273438,2930530048,0.0,0.0,972.2926544189453,1018.9960607910157,39.36189395796843
2018-02-11 00:00:00+00:00,859.2880249023438,859.2880249023438,788.2219848632812,814.6599731445312,2486650112,0.0,0.0,962.8626525878906,1018.9960607910157,29.769989090991317
2018-02-12 00:00:00+00:00,817.5079956054688,875.93701171875,817.5079956054688,868.7069702148438,2243450112,0.0,0.0,956.9865509033203,1018.9960607910157,35.15619028879405
2018-02-13 00:00:00+00:00,869.2930297851562,870.708984375,828.8369750976562,845.2579956054688,2081170048,0.0,0.0,946.31044921875,1018.9960607910157,38.34185112787403
2018-02-14 00:00:00+00:00,844.2789916992188,926.4290161132812,844.2789916992188,923.5609741210938,2818370048,0.0,0.0,939.6869964599609,1018.9960607910157,40.261115020987276
2018-02-15 00:00:00+00:00,923.72802734375,951.947998046875,911.1110229492188,936.9760131835938,2900100096,0.0,0.0,933.777294921875,1018.9960607910157,44.64372264179951
2018-02-16 00:00:00+00:00,934.7860107421875,950.0050048828125,917.8480224609375,944.2100219726562,2369449984,0.0,0.0,925.6342987060547,1018.9960607910157,51.737521168899306
2018-02-17 00:00:00+00:00,944.7479858398438,976.594970703125,940.7540283203125,974.114990234375,2525720064,0.0,0.0,912.0395477294921,1018.9960607910157,50.63127827314767
2018-02-18 00:00:00+00:00,973.3489990234375,982.9329833984375,915.4450073242188,923.9210205078125,2567290112,0.0,0.0,899.1175994873047,1018.9960607910157,56.19281011700879
2018-02-19 00:00:00+00:00,921.6680297851562,957.7769775390625,921.5540161132812,943.864990234375,2169019904,0.0,0.0,892.7543487548828,1018.9960607910157,70.36662971505811
2018-02-20 00:00:00+00:00,943.5670166015625,965.2650146484375,892.9539794921875,895.3709716796875,2545260032,0.0,0.0,881.6073944091797,1021.4506604003906,59.17786758404783
2018-02-21 00:00:00+00:00,894.135009765625,912.375,830.56298828125,849.9710083007812,2531729920,0.0,0.0,872.2664428710938,1020.761201171875,58.2013739046905
2018-02-22 00:00:00+00:00,849.2620239257812,875.926025390625,802.6680297851562,812.844970703125,2150370048,0.0,0.0,867.1194427490234,1017.763701171875,49.54290028526423
2018-02-23 00:00:00+00:00,811.5850219726562,886.3179931640625,794.791015625,864.1890258789062,2334820096,0.0,0.0,862.1279449462891,1015.4290417480469,48.136957500432
